371,446,436,442,
1464,1639,1601,1503,
1439,1664,1639,1464,
1744,1917,1877,1784,
1246,1784,1877,153,
21,1003,1246,153,
1021,1815,1784,1246,
776,143,497,1977,
1569,423,459,1816,
21,690,1537,1503,
1601,1003,21,1503,
21,153,1152,690,
371,442,1699,767,
1003,1601,1567,1052,
1003,1052,1021,1246,
767,1977,1944,1717,
690,1052,1567,1537,
690,1152,1021,1052,
2158,2159,1699,776,
371,767,1717,446,
776,1699,1664,1439,
776,1439,391,143,
396,404,478,486,
391,396,486,491,
423,431,451,459,
143,391,491,497,
1021,1152,1845,1815,
153,1877,1845,1152,
1538,1569,1816,1846,
404,1538,1846,478,
431,436,446,451,
1717,1944,1917,1744,
2090,1977,767,2097,
2090,2097,2159,2158,
1439,1464,396,391,
1464,1503,404,396,
404,1503,1537,1538,
1538,1537,1567,1569,
1569,1567,1601,423,
1639,431,423,1601,
431,1639,1664,436,
436,1664,1699,442,
1717,1744,451,446,
1744,1784,459,451,
1815,1816,459,1784,
1815,1845,1846,1816,
1845,1877,478,1846,
1917,486,478,1877,
486,1917,1944,491,
491,1944,1977,497,
2166,2169,2199,2198,
2166,2191,2193,2169,
2184,2185,2193,2191,
2185,2184,2198,2199,
2166,776,1977,2191,
2166,2198,2158,776,
2169,2193,767,1699,
2159,2199,2169,1699,
2090,2184,2191,1977,
2185,2097,767,2193,
2090,2158,2198,2184,
2097,2185,2199,2159,
