10975		3
10991		3
20943		3
20991		3
2557		3
2587		3
2702		3
2703		3
19298		3
19299		3
2841		3
2842		3
7648		3
7649		3
7654		3
7655		3
25067		3
25088		3
3739		3
3740		3
19151		3
19152		3
26887		3
5854		3
5855		3
5844		3
5845		3
5836		3
5837        3
6919		5
6920		5
7050		5
7051		5
7052		5
7053		5
26793		5
26794		5
6833		5
6834		5
6860		5
6861		5
12932		5
12933		5
8223		5
8331		5
8332		5
8333		5
8334		5
12725		5
12726		5
12827		5
12828		5
14645		5
14679		5
14680		5
15441		5
15442		5
15488		5
16163		5
16164		5
16165		5
16179		5
18821		5
18822		5
18696		5
18730		5
16214		5
16215		5
23583		5
23584		5
23585		5
23586		5
23620		5
23621		5
23622		5
23623		5
13650		5
13676		5
13677		5
13678		5
13693		5
13694		5
9132		5
9133		5
20177		5
20178		5
20179		5
20180		5
20187		5
20188		5
9499		5
9530		5
9531		5
9532		5
15613		5
15614		5
15659		5
15660		5
9454		5
9478		5
9479		5
9505        5
2437		3
2438		1
17748		3
17749		3
19302		3
19303		3
16172		1
16171		2
23602		2
23601		1
14488		2
12939		2
3789		1
3790		4
